Maple Leaf Natural Selections PROTINIS™	3.99	ea	Meat
pork tenderloin	4.99	lb	Meat
beef tenderloin grilling steak	19.99	lb	Meat
pork side ribs	3.99	lb	Meat
Maple Leaf or Natural Selections bacon, Ready Crisp bacon, fully cooked breakfast sausage or links	3.99	ea	Meat
lean ground beef	5.99	lb	Meat
PC® Blue Menu® turkey breast, scaloppine or fillets	8.99	lb	Meat
cap-off prime rib grilling steak	14.99	lb	Meat
bison steak or medallion	11.99	ea	Meat
pork loin centre cut chops and roasts	3.99	lb	Meat
Souvlaki chicken breast kabobs	5.99	ea	Meat
chicken breasts or thighs	3.99	lb	Meat
piri-piri or sweet BBQ chicken drumsticks	5.99	ea	Meat
pork or turkey sausages	3.99	ea	Meat
Cobblestone pork back ribs BBQ or honey garlic	6.99	ea	Meat
Schneiders Grill'ems smoked sausage,<br>Country Naturals or Juicy Jumbos wieners	3.99	ea	Meat
Marc Angelo gourmet smoked chicken sausages	4.99	ea	Meat
fresh kebabs	3.99	ea	Meat
grain fed veal cutlets	10.99	lb	Meat
Piller’s Simply Free, PC® Free From® or regular smoked ham	9.99	ea	Meat
PC® boneless lamb leg	6.99	lb	Meat
Maple Leaf Top Dogs wieners	2.5	ea	Meat
Lou’s Quick-N-Easy entrées	5.99	ea	Meat
PC® Free From® chicken breasts or thighs	5.99	lb	Meat
pork or turkey burgers	3.99	ea	Meat
PC® Organics Romaine hearts	4.99	ea	Produce
PC® Organics bananas	0.99	lb	Produce
Driscoll's raspberries	2.5	ea	Produce
russet potatoes	2.99	ea	Produce
organic raspberries	4.99	ea	Produce
portobello mushrooms	4.99	lb	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99	lb	Produce
PC® white stuffer mushrooms	3.99	ea	Produce
PC® Organics Roma tomatoes	3.49	lb	Produce
large ripe organic mangos	2.99	ea	Produce
PC® portobello mushroom caps	3.99	ea	Produce
PC® Organics Russett or yellow potatoes	3.29	ea	Produce
PC® baby king oyster mushrooms	4.99	ea	Produce
PC® Organics blueberries	4.99	ea	Produce
PC® Shiitake or oyster mushrooms	3.99	ea	Produce
PC® cremini whole or sliced mushrooms	2.0	ea	Produce
PC® Organics red or green seedless grapes	7.99	ea	Produce
COLOSSAL cherries	2.99	lb	Produce
PC® sliced king oyster mushrooms	4.99	ea	Produce
PC® white button mushrooms	2.5	ea	Produce
large whole seedless watermelon	5.99	ea	Produce
organic Valencia oranges	6.99	ea	Produce
