Olymel naturally smoked bacon	2.88	375 g	Meat
Marc Angelo drumsticks	5.99	450 g	Meat
pork loin centre cut chops or roast	4.44 lb / 9.79/kg		Meat
lean ground beef	3.99 lb / 8.80/kg		Meat
PC® Free From® pork tenderloin	7.99 lb / 17.61/kg		Meat
Maple Leaf Prime fully cooked chicken or turkey	7.99	300 g	Meat
striploin Premium oven roast or grilling steak	14.99 lb / 33.05/kg		Meat
inside round oven roast	7.99 lb / 17.61/kg		Meat
fresh rabbit	7.99 lb / 17.61/kg		Meat
pork capicola shoulder blade roast	5.99 lb / 13.21/kg		Meat
PC® Blue Menu® or Free From® breakfast or dinner pork sausage or PC® Blue Menu® sausage patties	4.99	500 g	Meat
lean ground veal	5.99 lb / 13.21/kg		Meat
PC® short cut leg of lamb	5.99 lb / 13.21/kg		Meat
Maple Leaf Prime chicken breasts	6.99 15.41/kg		Meat
PC® Blue Menu® turkey breasts	5.99 lb / 13.21/kg		Meat
fresh Grade A turkeys	1.99 /lb 4.39/kg		Meat
TRY WITH... PC® fresh herbs	2/4 or 2 ea.	40 g	Produce
PC® Kumato	2/5 or 2.50 ea.	340 g	Produce
pepper, butternut, buttercup or spaghetti squash	1.29 lb / 2.84/kg		Produce
extra large pineapple	2.99 ea./ lb / 6.59/kg		Produce
Dole Classic Iceberg or colourful coleslaw	2/3 or 1.50 ea.	397 g	Produce
large pomegranates	2/5 or 2.50 ea.		Produce
large Honey Kiss melon	4.99 each		Produce
Driscoll’s raspberries	2/4 or 2 ea.	170 g	Produce
large ripe avocados	3/5 or 1.67 ea.		Produce
large broccoli	1.99 each	400 g	Produce
Honeycrisp apples	2.49 lb /  5.49/kg		Produce
PC® Little Gems™ mini potatoes	3.49	680 g	Produce
2 lb BAG PC® mandarins	5.99		Produce
